Label,Score,Status,x,y,r,x0,y0,r0,weight,px,py,id,SEVEN,FOUR,TWO,FIVET,FOURT,THREET,TWOT
ROBERTA-LARGE,0.435560029,Correct,609.0729073,294.2938282,3.595496772,600,304.7975843,4.613360174,0,609.0746792,294.2841731,69,2,1,1,4,2,2,1
BERT-BASE,0.437609528,Correct,987.1127501,316.4486655,3.603004277,1000,303.6908549,4.625657168,0,987.0859857,316.454849,36,2,1,1,4,2,2,1
BERT-LARGE,0.437609528,Correct,738.4593584,307.214264,3.603004277,800,303.6908549,4.625657168,0,738.4570032,307.215026,36,2,1,1,4,2,2,1
GLOVE-CNN,0.437609528,Correct,242.2635155,311.8433481,3.603004277,200,303.6908549,4.625657168,0,242.2381333,311.8138282,36,2,1,1,4,2,2,1
GLOVE-LSTM,0.437609528,Correct,374.5781857,308.9926929,3.603004277,400,303.6908549,4.625657168,0,374.6793177,308.9652287,36,2,1,1,4,2,2,1
ROBERTA-LARGE,0.437609528,Correct,589.9818499,313.6132578,3.603004277,600,303.6908549,4.625657168,0,589.9549976,313.6032669,36,2,1,1,4,2,2,1
BERT-BASE,0.438856097,Correct,960.4277333,309.5309632,3.607570575,1000,303.0177076,4.633136582,0,960.4400239,309.5348487,149,2,1,1,4,2,2,1
BERT-LARGE,0.438856097,Correct,748.350994,309.7450944,3.607570575,800,303.0177076,4.633136582,0,748.3597165,309.7043175,149,2,1,1,4,2,2,1
GLOVE-CNN,0.438856097,Correct,226.6190651,303.2188722,3.607570575,200,303.0177076,4.633136582,0,226.6237019,303.2082274,149,2,1,1,4,2,2,1
GLOVE-LSTM,0.438856097,Correct,330.722136,309.5127346,3.607570575,400,303.0177076,4.633136582,0,330.7697818,309.4945696,149,2,1,1,4,2,2,1
ROBERTA-LARGE,0.438856097,Correct,616.5971115,310.3889572,3.607570575,600,303.0177076,4.633136582,0,616.5909924,310.4256965,149,2,1,1,4,2,2,1
BERT-BASE,0.443607716,Correct,970.6518749,308.9950536,3.624976196,1000,300.4518334,4.661646296,0,970.6730676,308.9705999,120,2,1,1,4,2,2,1
BERT-LARGE,0.443607716,Correct,837.7816495,300.4489367,3.624976196,800,300.4518334,4.661646296,0,837.7736993,300.4354157,120,2,1,1,4,2,2,1
GLOVE-CNN,0.443607716,Correct,231.7220218,312.2340674,3.624976196,200,300.4518334,4.661646296,0,231.7043424,312.2188871,120,2,1,1,4,2,2,1
GLOVE-LSTM,0.443607716,Correct,365.3075375,304.4777231,3.624976196,400,300.4518334,4.661646296,0,365.4160601,304.4212635,120,2,1,1,4,2,2,1
ROBERTA-LARGE,0.443607716,Incorrect,596.1645551,239.5265237,3.624976196,600,300.4518334,4.661646296,0,596.1482803,239.5445748,120,2,1,1,4,2,2,1
BERT-BASE,0.450054336,Correct,1026.385778,286.0035757,3.648590763,1000,296.9706586,4.700326016,0,1026.323342,285.9713115,145,2,1,1,4,2,2,1
BERT-LARGE,0.450054336,Correct,792.5874524,303.6927991,3.648590763,800,296.9706586,4.700326016,0,792.5876133,303.7209413,145,2,1,1,4,2,2,1
GLOVE-CNN,0.450054336,Correct,259.4344658,305.6777179,3.648590763,200,296.9706586,4.700326016,0,259.446389,305.6650491,145,2,1,1,4,2,2,1
GLOVE-LSTM,0.450054336,Correct,383.4260686,303.8148391,3.648590763,400,296.9706586,4.700326016,0,383.4711582,303.9677725,145,2,1,1,4,2,2,1
ROBERTA-LARGE,0.450054336,Correct,635.5046686,302.2709842,3.648590763,600,296.9706586,4.700326016,0,635.506927,302.2687055,145,2,1,1,4,2,2,1
BERT-BASE,0.450433464,Correct,1023.551652,311.5451732,3.649979544,1000,296.7659294,4.702600784,0,1023.552591,311.5574092,92,2,1,1,4,2,2,1
BERT-LARGE,0.450433464,Correct,728.295003,304.1311367,3.649979544,800,296.7659294,4.702600784,0,728.3082364,304.1007704,92,2,1,1,4,2,2,1
GLOVE-CNN,0.450433464,Correct,215.3091388,301.8457729,3.649979544,200,296.7659294,4.702600784,0,215.3116961,301.8586066,92,2,1,1,4,2,2,1
GLOVE-LSTM,0.450433464,Correct,427.948231,255.5395619,3.649979544,400,296.7659294,4.702600784,0,427.9220118,255.489507,92,2,1,1,4,2,2,1
